ProblemName,Inital Guess,,,,,,,,,,
1_bqp1var.txt,-0.680376,,,,,,,,,,
1_ex4_1_1.txt,-3.12698,,,,,,,,,,
1_ex4_1_2.txt,1.46185,,,,,,,,,,
1_ex4_1_3.txt,-7.98441,,,,,,,,,,
1_ex4_1_4.txt,-4.11648,,,,,,,,,,
1_ex4_1_6.txt,(-3.02448),,,,,,,,,,
1_ex4_1_7.txt,(-1.64777),,,,,,,,,,
1_median.txt,-536.46,,,,,,,,,,
1_median_eps.txt,(-444.45),,,,,,,,,,
2_AluffiPentini.txt,(1.0794 ; -0.452058),,,,,,,,,,
2_BeckerLago.txt,(2.57742 ; -2.70431),,,,,,,,,,
2_Camel3.txt,(0.13401 ; 4.5223),,,,,,,,,,
2_DekkersAarts.txt,(16.6479 ; 5.42847),,,,,,,,,,
2_GoldPrice.txt,(0.00960507 ; 0.315251),,,,,,,,,,
2_Hosaki.txt,(3.03485 ; 0.0815029),,,,,,,,,,
2_ModRosenbrock.txt,(-2.57113 ; -3.62768),,,,,,,,,,
2_MultiGauss.txt,(1.21671 ; -1.37328),,,,,,,,,,
2_beale.txt,(-95.1923 ; -903.307),,,,,,,,,,
2_brownbs.txt,(-238.659 ; -940.099),,,,,,,,,,
2_camel1.txt,(-2.81743 ; 0.129324),,,,,,,,,,
2_camel6.txt,(0.678225 ; 0.22528),,,,,,,,,,
2_cliff.txt,(-407.936 ; 275.105),,,,,,,,,,
2_concha1.txt,(48.5744 ; -12.834),,,,,,,,,,
2_concha2.txt,(0.160845 ; -0.796436),,,,,,,,,,
2_concha3.txt,(542.716 ; 53.49),,,,,,,,,,
2_concha4.txt,(-0.6607 ; -0.0365332) ,,,,,,,,,,
2_concha8.txt,(8.9153 ; 2.83315),,,,,,,,,,
2_concha9.txt,(-0.295083 ; 0.61545),,,,,,,,,,
2_concha10.txt,(0.838053 ; -0.860489),,,,,,,,,,
2_concha11.txt,(0.447157 ; 9.12569),,,,,,,,,,
2_concha12.txt,(-450.666 ; 779.398),,,,,,,,,,
2_cube.txt,(-11.7551 ; -227.75),,,,,,,,,,
2_denschna.txt,(268.637 ; -919.519),,,,,,,,,,
2_denschnb.txt,(-130.992 ; -135.838),,,,,,,,,,
2_denschnc.txt,(-331.334 ; 47.9873),,,,,,,,,,
2_denschnf.txt,(-586.223 ; 248.14),,,,,,,,,,
2_draper1.txt,(0.85092 ; 0.266666),,,,,,,,,,
2_drapero.txt,(539.761 ; 375.207),,,,,,,,,,
2_esfl.txt,(520.498 ; 25.0708),,,,,,,,,,
2_ex4_1_5.txt,(-4.8211 ; -570.531),,,,,,,,,,
2_ex005.txt,(1.03929 ; 1.43764),,,,,,,,,,
2_ex8_1_3.txt,(863.671 ; 861.62),,,,,,,,,,
2_ex8_1_4.txt,(590.264 ; 711.488),,,,,,,,,,
2_ex8_1_5.txt,(11.0886 ; -591.692),,,,,,,,,,
2_ex8_1_6.txt,(-291.902 ; 375.723),,,,,,,,,,
2_fermat2_eps.txt,(-668.051 ; -119.79),,,,,,,,,,
2_fermat_eps.txt,(760.151 ; 658.403),,,,,,,,,,
2_gold.txt,(-0.856799 ; -0.454876),,,,,,,,,,
2_himmelbb.txt,(-7.13963 ; 950.431),,,,,,,,,,
2_himmelbg.txt,(373.34 ; 912.937),,,,,,,,,,
2_himmelbh.txt,(177.281 ; 314.609),,,,,,,,,,
2_himmelp1.txt,(64.4008 ; 32.967),,,,,,,,,,
2_hs001.txt,(131.533 ; 17.9519),,,,,,,,,,
2_hs002.txt,(254.023 ; 158.858),,,,,,,,,,
2_hs003.txt,(827.706 ; 887.965),,,,,,,,,,
2_hs3mod.txt,(119.68 ; 124.237),,,,,,,,,,
2_hs004.txt,(110.176 ; 744.406),,,,,,,,,,
2_jensmp.txt,(-900.134 ; -153.244),,,,,,,,,,
2_logros.txt,Error in Ibex Function Syntax,0,0,0,0,0,0,No,No,Yes,No
2_maratosb.txt,(-9.4069 ; -434.33),,,,,,,,,,
2_median_vareps.txt,(-437.881 ; 572.005),,,,,,,,,,
2_mexhat.txt,(925.103 ; -49.6722),,,,,,,,,,
2_model2.txt,(21.8368 ; 17.9409),,,,,,,,,,
2_model19.txt,(44.9911 ; 263.617),,,,,,,,,,
2_model22.txt,(416.502 ; 169.608),,,,,,,,,,
2_model36.txt,(-8.51084 ; -8.2487),,,,,,,,,,
2_model39.txt,(-8.51084 ; -8.2487),,,,,,,,,,
2_nasty.txt,(520.951 ; 969.504),,,,,,,,,,
2_price.txt,(-0.208215 ; 7.91627),,,,,,,,,,
2_ratkasymptotic.txt,(0.766377 ; 1.49955),,,,,,,,,,
2_rbrock.txt,(2.26619 ; -4.47216),,,,,,,,,,
2_rosenbr.txt,(665.369 ; -896.815),,,,,,,,,,
2_s201.txt,(-511.174 ; -695.22),,,,,,,,,,
2_s202.txt,(870.008 ; 368.891),,,,,,,,,,
2_s204.txt,(347.993 ; 258.719),,,,,,,,,,
2_s205.txt,(143.178 ; 553.871),,,,,,,,,,
2_s206.txt,(-157.116 ; -397.202),,,,,,,,,,
2_s207.txt,(43.1268 ; -647.578),,,,,,,,,,
2_s208.txt,(893.396 ; -934.749),,,,,,,,,,
2_s209.txt,(674.835 ; -919.263),,,,,,,,,,
2_s210.txt,(177.61 ; -769.952),,,,,,,,,,
2_s211.txt,(62.289 ; 553.143),,,,,,,,,,
2_s212.txt,(937.099 ; -331.168),,,,,,,,,,
2_s213.txt,(-470.95 ; -428.914),,,,,,,,,,
2_s214.txt,(273.313 ; 480.351),,,,,,,,,,
2_s229.txt,(1.27871 ; 0.293275),,,,,,,,,,
2_s274.txt,(511.162 ; -896.122),,,,,,,,,,
2_s290.txt,(-684.385 ; 999.988),,,,,,,,,,
2_s307.txt,(204.329 ; 889.956),,,,,,,,,,
2_s309.txt,(349.211 ; 564.525),,,,,,,,,,
2_s311.txt,(-467.16 ; -570.518),,,,,,,,,,
2_s312.txt,(22.7728 ; 488.113),,,,,,,,,,
2_s328.txt,(2.84614 ; 2.18779),,,,,,,,,,
2_s332.txt,(0.180373 ; 0.163132),,,,,,,,,,
2_s386.txt,(-216.619 ; 826.054),,,,,,,,,,
2_sim2bqp.txt,(0.639391 ; -0.281809),,,,,,,,,,
2_simbqp.txt,(0.104971 ; 0.15886),,,,,,,,,,
2_sisser.txt,(-11.1862 ; 105.137),,,,,,,,,,
2_st_e39.txt,(-800.719 ; 61.616),,,,,,,,,,
2_stattools.txt,(757.294 ; 304.296),,,,,,,,,,
2_tame.txt,(856.826 ; 909.512),,,,,,,,,,
2_tre.txt,(3.77614 ; 2.4781),,,,,,,,,,
2_zangwil2.txt,(257.82 ; -929.158),,,,,,,,,,
3_Hartman3.txt,(0.747803 ; 0.833239 ; 0.925377),,,,,,,,,,
3_MeyerRoth.txt,(7.46543 ; 6.62076 ; 9.58869),,,,,,,,,,
3_bard.txt,(487.623 ; 806.733 ; 967.192),,,,,,,,,,
3_box2.txt,(1.33377 ; 0.994518 ; 0.327937),,,,,,,,,,
3_box3.txt,(660.024 ; 777.898 ; -846.01),,,,,,,,,,
3_concha5.txt,(870.008 ; 368.891 ; -233.623),,,,,,,,,,
